Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
130.0,179,179,142,6.102112676056338
130.5,179,179,142,6.102112676056338
131.0,179,179,142,6.102112676056338
131.5,180,180,143,6.059440559440559
132.0,180,180,143,6.059440559440559
132.5,182,182,144,6.017361111111111
133.0,184,184,144,6.017361111111111
133.5,184,184,144,6.017361111111111
134.0,184,184,144,6.017361111111111
134.5,184,184,144,6.017361111111111
135.0,185,185,146,5.9520547945205475
135.5,186,186,147,5.91156462585034
136.0,186,186,149,6.130872483221476
136.5,186,186,149,6.130872483221476
137.0,190,190,150,6.09
137.5,190,190,151,6.1158940397351
138.0,190,190,151,6.1158940397351
138.5,190,190,151,6.1158940397351
139.0,196,196,157,6.222929936305732
139.5,196,196,158,6.227848101265823
140.0,196,196,158,6.227848101265823
140.5,196,196,158,6.227848101265823
141.0,196,196,158,6.227848101265823
141.5,196,196,158,6.227848101265823
142.0,196,196,158,6.227848101265823
142.5,197,197,159,6.188679245283019
143.0,197,197,159,6.188679245283019
143.5,202,202,164,6.027439024390244
144.0,209,209,168,5.883928571428571
144.5,212,212,172,5.816860465116279
145.0,214,214,174,5.75
145.5,214,214,174,5.75
146.0,214,214,174,5.75
146.5,214,214,174,5.75
147.0,214,214,174,5.75
147.5,218,218,178,5.620786516853933
148.0,219,219,179,5.589385474860335
148.5,219,219,179,5.589385474860335
149.0,219,219,179,5.589385474860335
149.5,219,219,180,5.786111111111111
150.0,219,219,181,5.988950276243094
150.5,219,219,182,6.03021978021978
151.0,220,220,183,5.997267759562842
151.5,221,221,185,6.532432432432432
152.0,223,223,189,7.0661375661375665
152.5,228,228,192,6.955729166666667
153.0,231,231,195,6.848717948717948
153.5,231,231,196,6.864795918367347
154.0,234,234,197,6.82994923857868
154.5,235,235,197,6.82994923857868
155.0,235,235,197,6.82994923857868
155.5,235,235,197,6.82994923857868
156.0,236,236,198,6.795454545454546
156.5,237,237,199,6.761306532663316
157.0,237,237,199,6.761306532663316
157.5,237,237,200,6.82
158.0,237,237,200,6.82
158.5,237,237,200,6.82
159.0,237,237,200,6.82
159.5,238,238,201,6.786069651741293
160.0,238,238,202,6.782178217821782
160.5,238,238,202,6.782178217821782
161.0,238,238,202,6.782178217821782
161.5,238,238,202,6.782178217821782
162.0,241,241,203,6.748768472906404
162.5,242,242,203,6.748768472906404
163.0,242,242,203,6.748768472906404
163.5,242,242,204,6.887254901960785
164.0,242,242,204,6.887254901960785
164.5,242,242,204,6.887254901960785
165.0,242,242,204,6.887254901960785
165.5,242,242,204,6.887254901960785
166.0,242,242,205,6.873170731707317
166.5,243,243,206,6.839805825242719
