Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
171.0,391,391,209,81.30861244019138
171.5,391,391,209,81.30861244019138
172.0,391,391,209,81.30861244019138
172.5,391,391,212,81.81839622641509
173.0,391,391,212,81.81839622641509
173.5,391,391,215,82.42790697674418
174.0,391,391,217,83.23502304147465
174.5,391,391,219,83.55936073059361
175.0,391,391,219,83.55936073059361
175.5,391,391,222,84.05630630630631
176.0,391,391,222,84.05630630630631
176.5,391,391,222,84.05630630630631
177.0,391,391,222,84.05630630630631
177.5,391,391,222,84.05630630630631
178.0,391,391,222,84.05630630630631
178.5,391,391,222,84.05630630630631
179.0,391,391,223,84.46412556053812
179.5,391,391,223,84.46412556053812
180.0,391,391,225,85.05555555555556
180.5,391,391,225,85.05555555555556
181.0,391,391,225,85.05555555555556
181.5,391,391,226,85.46460176991151
182.0,391,391,226,85.46460176991151
182.5,391,391,226,85.46460176991151
183.0,391,391,226,85.46460176991151
183.5,391,391,226,85.46460176991151
184.0,391,391,226,85.46460176991151
184.5,391,391,227,85.42731277533039
185.0,391,391,227,85.42731277533039
185.5,391,391,229,85.81441048034935
186.0,391,391,229,85.81441048034935
186.5,391,391,230,86.23478260869565
187.0,391,391,230,86.23478260869565
187.5,391,391,231,86.65584415584415
188.0,391,391,233,87.04721030042919
188.5,391,391,234,86.89957264957265
189.0,391,391,238,88.11344537815125
189.5,391,391,243,88.39917695473251
190.0,391,391,245,88.7734693877551
190.5,391,391,245,88.7734693877551
191.0,391,391,247,89.56882591093117
191.5,392,392,248,89.20766129032258
192.0,398,398,249,89.18875502008032
192.5,398,398,249,89.18875502008032
193.0,398,398,250,89.588
193.5,398,398,252,90.18253968253968
194.0,398,398,253,90.16798418972331
194.5,398,398,256,90.4375
195.0,398,398,258,91.21705426356588
195.5,398,398,258,91.21705426356588
196.0,398,398,259,91.41312741312741
196.5,398,398,263,92.36692015209125
197.0,398,398,265,93.12641509433962
197.5,398,398,266,93.50375939849624
198.0,398,398,267,93.17790262172285
198.5,398,398,269,93.2546468401487
199.0,398,398,271,93.3339483394834
199.5,398,398,273,93.5989010989011
